No.,問題,答え,新規,pass,正解数,不正解数,経過日数,連続日数,優先度
1,Inscrutable, 不可解な,1,0,0,0,0,0,0
2,Urban planning, 都市計画,1,0,0,0,0,0,0
3,Mobile phone , 携帯電話  ,1,0,0,0,0,0,0
4,Hoover , 掃除機  ,1,0,0,0,0,0,0
5,Sales, 販売／営業,1,0,0,0,0,0,0
6,Ascertain, 確かめる,1,0,0,0,0,0,0
7, Commuter rail, 通勤鉄道,1,0,0,0,0,0,0
8,colour, 色,1,0,0,0,0,0,0
9,Transit-oriented development, 交通指向型開発,1,0,0,0,0,0,0
10,Underpass, 低架道路,1,0,0,0,0,0,0
11,Salubrious, 健康に良い,1,0,0,0,0,0,0
12,Whiteboard , ホワイトボード  ,1,0,0,0,0,0,0
13,University , 大学  ,1,0,0,0,0,0,0
14, Public realm, 公共空間,1,0,0,0,0,0,0
15,Ubiquitous, 偏在する,1,0,0,0,0,0,0
16,Project feasibility, プロジェクト実現可能性,1,0,0,0,0,0,0
17, boot, トランク,1,0,0,0,0,0,0
18,advice, 助言,1,0,0,0,0,0,0
19,Demand, 需要／要求する,1,0,0,0,0,0,0
20,Marker pen , マーカー  ,1,0,0,0,0,0,0
21,Torch , 懐中電灯  ,1,0,0,0,0,0,0
22, Land use, 土地利用,1,0,0,0,0,0,0
23,bag, バッグ,1,0,0,0,0,0,0
24,Beam, 梁,1,0,0,0,0,0,0
25,Wi-Fi, ワイファイ  ,1,0,0,0,0,0,0
26,book, 本,1,0,0,0,0,0,0
27,Zoning, 用途地域区分,1,0,0,0,0,0,0
28,Voracious, 貪欲な,1,0,0,0,0,0,0
29,box, 箱,1,0,0,0,0,0,0
30,Concrete, コンクリート,1,0,0,0,0,0,0
31,Superstructure, 上部構造,1,0,0,0,0,0,0
32,Coat , コート  ,1,0,0,0,0,0,0
33, Redevelopment, 再開発,1,0,0,0,0,0,0
34,Rubber , 消しゴム  ,1,0,0,0,0,0,0
35,Transaction, 取引,1,0,0,0,0,0,0
36,Grading, 整地工事,1,0,0,0,0,0,0
37, nappy, おむつ,1,0,0,0,0,0,0
38,article, 記事,1,0,0,0,0,0,0
39,business, 事業,1,0,0,0,0,0,0
40,Pen drive , USBメモリ  ,1,0,0,0,0,0,0
41,amount, 量,1,0,0,0,0,0,0
42, crisps, ポテトチップス,1,0,0,0,0,0,0
43, Regeneration, 都市再生,1,0,0,0,0,0,0
44,Boots , 長靴  ,1,0,0,0,0,0,0
45,Loquacious, おしゃべりな,1,0,0,0,0,0,0
46,Dam, ダム,1,0,0,0,0,0,0
47,Wallet , 財布  ,1,0,0,0,0,0,0
48,Acquire, 獲得する,1,0,0,0,0,0,0
49,Lamp , ランプ  ,1,0,0,0,0,0,0
50,Tablet , タブレット  ,1,0,0,0,0,0,0
51,Land use, 土地利用,1,0,0,0,0,0,0
52,Taxi , タクシー  ,1,0,0,0,0,0,0
53,Microwave , 電子レンジ  ,1,0,0,0,0,0,0
54,Shirt , シャツ  ,1,0,0,0,0,0,0
55,Earthwork, 土工事,1,0,0,0,0,0,0
56,Regeneration, 都市再生,1,0,0,0,0,0,0
57,arm, 腕,1,0,0,0,0,0,0
58,Textbook , 教科書  ,1,0,0,0,0,0,0
